# commits in default branch,% of signed commits,# branches,# files in default branch,# contributors,# releases,% pre-releases in releases,Average # of assets per release,Average # of mentions per release,Average # of reactions per release,# contributors created release,# deployments,# contributors created deployment,repo size in Kbyte,# tags,# languages,% main language use,# subscribers,# milestones,# labels,# .md files,# stars,# topics,# forks,Average # issues per milestones,% closed milestones,Repo age ,Insertions in default branch,Deletions in default branch,Days from 1st commit in default branch,Days from last commit in default branch,README length (# lines),# Open pull requests,# Closed pull requests,% closed pull requests,% merged pulls among closed,# Open issues,# Closed issues,% closed issues,Average time to close issue (days),Average time to close pull request (days),Number of issue comments,Number of pull request comments,# Devs opened issues,# Devs closed issues,# Devs opened pulls,# permissions in license,# conditions in license,# limitations in license,# reactions in closed issues,# reactions in closed pulls
4442,0.168842863574966,4,177,134,8,0,0.75,2.25,6.25,1,65,1,73750,16,3,0.944721732181745,813,0,9,7,42288,4,4689,0.000000,0.000000,2529,26072,2,2529,5,117,5,679,0.9926900585,0.711340206185567,317,625,0.6634819533,70.806400000,58.076583211,3468,777,637,271,237,4,1,2,116,115
344,0.232558139534884,9,112,23,7,0,0,0,16.1428571428571,1,0,0,4024,7,3,0.981297567527235,117,0,13,15,8356,4,209,0.000000,0.000000,320,12433,28,320,7,374,24,79,0.7669902913,0.810126582278481,25,62,0.7126436782,12.983870968,6.683544304,276,126,59,16,52,4,1,2,9,14
2127,0.020216267042783,22,1279,269,13,0,0.461538461538462,0,0.615384615384615,1,0,0,21551,14,6,0.978563145976022,343,0,26,117,16141,3,4197,0.000000,0.000000,1638,199599,3800,1622,0,237,75,927,0.9251497006,0.098166127292341,1168,2053,0.6373796957,22.172917681,30.668824164,9379,1524,1720,569,357,4,1,2,489,92
164,0.054878048780488,1,316,5,0,0,0,0,0,0,0,0,181708,0,1,1,54,0,9,1,2939,0,1094,0.000000,0.000000,418,81818,24005,418,9,7,1,8,0.8888888889,0.5,7,23,0.7666666667,41.958333333,20.125000000,155,9,27,3,8,0,0,0,5,4
4987,0.206371468643558,106,548,89,95,0,0,0,0.010416666666667,3,139,3,158797,102,2,0.996904939924536,228,14,37,54,5867,15,639,9.214286,0.928571,1300,25928,12267,1300,0,172,9,1093,0.9918330309,0.862763037511436,81,769,0.9047058824,32.694408322,2.458523245,1794,605,128,32,138,5,4,2,25,25
1425,0.207017543859649,2,86,89,31,0,0,0,1.03225806451613,3,0,0,18797,108,2,0.994580501189785,170,0,16,4,5862,4,1349,0.000000,0.000000,3628,10850,295,3628,9,93,26,459,0.9463917526,0.422657952069717,89,683,0.8847150259,162.734992679,64.080610022,4230,1276,633,171,193,4,0,2,524,167
1314,0.314307458143075,2,81,80,49,0,0.836734693877551,0.326530612244898,4.53061224489796,4,0,0,55573,49,3,0.991607028568104,155,22,11,19,7589,10,958,4.863636,0.909091,2057,72319,17,2057,14,340,0,490,1,0.781632653061225,5,959,0.994813278,62.422314911,18.551020408,4296,1459,657,149,128,4,1,2,247,49
583,0.912521440823327,2,50,31,45,0,1.46666666666667,0,6.64444444444445,1,0,0,2436,98,3,0.987932026674791,39,0,28,3,3182,2,312,0.000000,0.000000,118,20763,23,118,1,135,9,159,0.9464285714,0.433962264150943,13,247,0.95,1.379032258,1.484276730,1178,785,176,49,68,5,4,2,27,23
20,0.7,2,45,8,0,0,0,0,0,0,0,0,53163,0,2,0.889030883919063,219,0,9,17,9360,0,895,0.000000,0.000000,122,66,57,266,48,48,10,9,0.4736842105,0.666666666666667,0,0,0,0.000000000,5.666666667,0,8,0,0,16,4,2,4,0,0
9586,0.444038802545113,6,2024,320,115,0.043478260869565,0.747826086956522,0,12.1652173913044,10,0,0,57769,118,4,0.83070885217307,513,8,41,13,17030,11,2075,44696,1.000000,2364,143906,4424,2364,0,147,28,1510,0.9817945384,0.752980132450331,1006,5241,0.8389627021,109.694889397,34.791528789,27512,8850,3066,514,354,5,4,2,4381,1970
4907,0.977004477004477,728,9165,239,162,1,0,0.012269938650307,0.01840490797546,12,54221,62,104655,212,16,0.539666446192644,107,143,280,652,5776,18,1012,10.083916,0.909091,575,953590,0,575,0,75,156,5290,0.971355123,0.868241965973535,2051,3017,0.5953038674,42.087661264,5.063241107,9001,12930,687,141,306,4,3,1,542,265
467,0.010706638115632,3,282,28,9,0,0,0.222222222222222,16.6666666666667,1,0,0,1753,9,2,0.999776779332074,228,11,25,2,3287,0,672,24.363636,0.818182,707,45106,2,691,12,0,3,124,0.9763779528,0.193548387096774,57,445,0.8864541833,18.487695749,26.129032258,1301,493,199,40,55,5,2,3,94,8
4450,0.011685393258427,1,3912,15,96,0,0.041666666666667,0,0,1,0,0,179568,116,8,0.848853008887846,107,0,9,5,6687,8,510,0.000000,0.000000,1205,432236,0,3599,0,0,0,40,1,0.05,0,0,0,0.000000000,0.625000000,0,35,0,0,12,4,1,2,0,0
23076,0.406898643671188,172,58519,342,3093,0.415508885298869,0.021970920840065,0.00064620355412,0.002907915993538,10,1120,7,2582804,3152,14,0.986896283559297,278,101,339,895,1230,6,1356,36.267327,0.861386,3731,11811057,0,3786,0,114,128,19720,0.9935509875,,1212,6099,0.8342224046,101.404816514,7.510819440,14883,25117,1482,443,424,4,1,2,369,172
834,0.364508393285372,13,4552,44,8,0,3,0,3.42857142857143,1,0,0,29821,84,6,0.997953011090646,138,0,6,4,5353,0,572,0.000000,0.000000,4128,378030,42144,4117,0,61,12,266,0.9568345324,0.849624060150376,439,182,0.2930756844,101.896174863,58.093984962,1422,242,424,118,74,5,5,2,41,33
13945,0.029247311827957,16,12262,329,17,0,123,0,3.94117647058824,3,0,0,171590,170,16,0.89293351221824,342,18,69,120,11419,3,4271,31.944444,0.833333,3157,2825631,3,3158,0,70,189,8836,0.9790581717,0.85727221279004,472,377,0.4440518257,10.827225131,13.057572673,925,14056,349,42,971,5,2,3,46,595
2828,0.94059405940594,17,344,53,60,0.1,6.35,0,7.26666666666667,1,0,0,12865,60,2,0.999844312024516,105,2,13,9,4145,9,1047,34.500000,0.500000,1301,36776,9042,1302,13,129,40,334,0.8930481283,0.553892215568862,594,2287,0.7938215897,32.497595103,29.395209581,9947,1356,1656,223,125,5,5,2,336,153
1640,0.093845216331505,15,262,118,3,0,0,0.333333333333333,8.66666666666667,1,0,0,11190,44,1,1,744,0,26,13,20597,0,3991,0.000000,0.000000,2532,36339,26985,4923,0,91,152,446,0.745819398,0.672645739910314,481,966,0.6675881133,63.057911065,66.404921700,4517,1521,725,163,275,5,2,3,223,81
18146,0.580771349862259,68,2241,162,179,0.653631284916201,1.41899441340782,0,0.418994413407821,4,1,1,429786,922,9,0.760063416461994,168,64,41,15,2774,9,1364,72.281250,0.968750,2087,224727,4395,3840,0,81,71,4077,0.9828833173,0.875153298994359,911,4745,0.8389321075,86.436788875,13.357685707,22586,17414,2982,427,198,4,4,2,1059,324
